,hotel_id,repeating_amenities_score
1051,91747,2
1052,44687,0
1053,88169,2
1054,82609,2
1055,102530,2
1056,48372,2
1057,36115,0
1058,2764,0
1059,39400,0
1060,12003,0
1061,101025,2
1062,81121,0
1063,93690,2
1064,98044,2
1065,6819,0
1066,51097,2
1067,5894,0
1068,43022,2
1069,93434,2
1070,6327,0
1071,8144,0
1072,102668,0
1073,93845,2
1074,96089,2
1075,27306,0
1076,79363,2
1077,76365,2
1078,92194,2
1079,83219,2
1080,36129,0
1081,6805,0
1082,89997,2
1083,17864,0
1084,76649,0
1085,57085,0
1086,9005,0
1087,36438,0
1088,81281,0
1089,36877,0
1090,9941,0
1091,85593,2
1092,96733,2
1093,96978,2
1094,73988,2
1095,82322,0
1096,88144,2
1097,95954,2
1098,36700,0
1099,62010,2
1100,103405,2
1101,103140,2
1102,85497,2
1103,62617,2
1104,95203,2
1105,1436,0
1106,57209,2
1107,12917,2
1108,45084,0
1109,103236,0
1110,93381,2
1111,97583,2
1112,85894,2
1113,35800,2
1114,51246,0
1115,387,0
1116,2612,0
1117,95209,2
1118,14734,0
1119,1127,0
1120,10954,0
1121,75009,0
1122,73209,2
1123,55271,2
1124,75572,2
1125,79009,2
1126,98452,0
1127,51221,0
1128,3048,0
1129,81110,0
1130,15772,0
1131,44043,2
1132,93558,2
1133,77560,2
1134,99844,2
1135,97884,2
1136,13558,0
1137,11134,0
1138,20089,2
1139,102240,2
1140,104617,2
1141,104333,2
1142,2744,0
1143,42873,0
1144,49266,0
1145,90681,2
1146,51522,2
1147,84001,2
1148,39425,0
1149,16385,0
1150,50470,0
1151,3399,0
1152,48549,0
1153,73963,2
1154,58078,0
1155,79639,2
1156,11598,0
1157,56466,0
1158,76500,0
1159,73527,2
1160,58134,0
1161,1273,0
1162,45399,0
1163,101059,2
1164,15015,0
1165,92953,2
1166,85025,0
1167,75136,0
1168,37473,0
1169,19782,0
1170,14818,0
1171,16756,0
1172,92579,2
1173,49812,0
1174,6305,0
1175,44628,2
1176,94126,2
1177,42063,2
1178,18899,0
1179,77833,2
1180,79425,0
1181,61318,0
1182,54582,2
1183,1231,2
1184,48026,2
1185,16047,0
1186,99771,2
1187,12886,0
1188,95313,2
1189,83056,2
1190,43554,2
1191,80367,2
1192,96660,2
1193,84350,2
1194,61059,0
1195,74340,0
1196,47449,0
1197,1394,0
1198,102623,2
1199,103357,2
1200,86473,2
1201,93676,2
1202,7202,0
1203,3627,0
1204,93353,2
1205,50405,0
1206,15898,0
1207,54486,2
1208,94838,2
1209,74959,2
1210,4212,0
1211,48448,0
1212,90942,2
1213,10200,0
1214,104260,2
1215,88102,2
1216,97698,0
1217,74371,0
1218,87210,2
1219,91519,2
1220,325,0
1221,4389,0
1222,100657,2
1223,75991,0
1224,91589,2
1225,1982,0
1226,42789,0
1227,103517,2
1228,89913,2
1229,57569,0
1230,97695,2
1231,82603,2
1232,90073,2
1233,57012,0
1234,93375,0
1235,73291,2
1236,35490,0
1237,79017,2
1238,57912,2
1239,92315,2
1240,74658,0
1241,40100,0
1242,42640,2
1243,100848,2
1244,3602,0
1245,84569,2
1246,61641,0
1247,17833,0
1248,19743,2
1249,97228,2
1250,81405,0
1251,61931,2
1252,6915,0
1253,100193,2
1254,50723,0
1255,53704,2
1256,98474,0
1257,76593,2
1258,86037,2
1259,12326,0
1260,7691,0
1261,77968,0
1262,54149,0
1263,103804,2
1264,96317,2
1265,101543,2
1266,76165,2
1267,84662,2
1268,59273,0
1269,1667,0
1270,20232,0
1271,84665,2
1272,88999,2
1273,96638,2
1274,17687,0
1275,89747,2
1276,85725,2
1277,76894,0
1278,45461,0
1279,102330,2
1280,48943,0
1281,37127,0
1282,99515,2
1283,97394,2
1284,91544,2
1285,61045,2
1286,86327,2
1287,10796,0
1288,18396,2
1289,92008,0
1290,73904,2
1291,78716,2
1292,37102,2
1293,20044,0
1294,61371,0
1295,45804,0
1296,55935,0
1297,78705,2
1298,46698,0
1299,38331,0
1300,36818,0
1301,27241,0
1302,53097,2
1303,1090,0
1304,60772,2
1305,86445,0
1306,89609,2
1307,15426,2
1308,98598,2
1309,92616,2
1310,44724,2
1311,79265,2
1312,5728,0
1313,7351,0
1314,95558,2
1315,91260,2
1316,8268,0
1317,95324,2
1318,18432,0
1319,43984,2
1320,99189,2
1321,82600,2
1322,56382,0
1323,79605,2
1324,80803,2
1325,59996,2
1326,98924,2
1327,59850,2
1328,11266,0
1329,89162,2
1330,82589,2
1331,58955,0
1332,75718,2
1333,86161,0
1334,81371,0
1335,97386,2
1336,103686,2
1337,1703,0
1338,41574,2
1339,75566,2
1340,83351,2
1341,45624,0
1342,90349,2
1343,48498,2
1344,47728,0
1345,46223,2
1346,7500,0
1347,92599,2
1348,79400,2
1349,96334,2
1350,39822,2
1351,75431,2
1352,80058,0
1353,48487,2
1354,47584,0
1355,96503,2
1356,75864,2
1357,60021,2
1358,91983,2
1359,76874,0
1360,84394,2
1361,87392,2
1362,101863,2
1363,40881,0
1364,92182,2
1365,55554,0
1366,50753,2
1367,49122,0
1368,80819,2
1369,96806,2
1370,74997,2
1371,25488,0
1372,79748,2
1373,83331,0
1374,1835,0
1375,9744,0
1376,6360,0
1377,39658,0
1378,14688,0
1379,44920,2
1380,17529,0
1381,104436,2
1382,61025,2
1383,54632,2
1384,43438,0
1385,3809,0
1386,77264,2
1387,83064,2
1388,83055,0
1389,50455,0
1390,88461,2
1391,78133,2
1392,89766,2
1393,76052,2
1394,94564,2
1395,62701,2
1396,79309,2
1397,95591,2
1398,90078,2
1399,44009,0
1400,51178,2
1401,89670,2
1402,14553,0
1403,57475,2
1404,14733,0
1405,79635,2
1406,43269,0
1407,89656,2
1408,51153,2
1409,76342,0
1410,58831,2
1411,9024,0
1412,98012,2
1413,97706,2
1414,76882,2
1415,79188,2
1416,87820,2
1417,9451,0
1418,61818,0
1419,93830,2
1420,94744,2
1421,16480,0
1422,93985,2
1423,59869,0
1424,49254,2
1425,91735,2
1426,75996,0
1427,81404,2
1428,103677,2
1429,8430,0
1430,99078,2
1431,85775,2
1432,16930,0
1433,75872,2
1434,80659,2
1435,85581,2
1436,47747,0
1437,52708,2
1438,44304,0
1439,90258,2
1440,45820,0
1441,93695,2
1442,82619,0
1443,75262,2
1444,95045,2
1445,84979,0
1446,15020,0
1447,16176,2
1448,101179,2
1449,62563,0
1450,84248,0
1451,82569,0
1452,4397,0
1453,89617,2
1454,11853,0
1455,96977,2
1456,78097,2
1457,6768,0
1458,74843,2
1459,8582,0
1460,89603,2
1461,45069,2
1462,62262,2
1463,14545,0
1464,39551,2
1465,39838,0
1466,62290,0
1467,88298,0
