,hotel_id,hotel_amenities,image_available_for_category
8463,58178,Conference Room|Parking Facility|Dining Area,
8464,98701,Swimming Pool,
8465,5516,Conference Room|In-house Restaurant|Dining Area|Parking Facility,Restaurant
8466,82408,In-house Restaurant,
8467,84393,In-house Restaurant|Dining Area,
8468,37981,In-house Restaurant,
8469,79907,In-house Restaurant|Dining Area,Restaurant
8470,102883,In-house Restaurant,
8471,13011,In-house Restaurant,
8472,3451,In-house Restaurant,Restaurant
8473,48140,In-house Restaurant|Dining Area,Restaurant
8474,2571,In-house Restaurant|Parking Facility,
8475,55351,In-house Restaurant,Restaurant
8476,43991,In-house Restaurant|Parking Facility,Restaurant
8477,4652,In-house Restaurant|Parking Facility|Dining Area,Restaurant
8478,13326,In-house Restaurant,
8479,38712,In-house Restaurant|Dining Area,Restaurant
8480,31,In-house Restaurant|Dining Area|Parking Facility,Restaurant
8481,59429,In-house Restaurant,Restaurant
8482,79758,Parking Facility,
8483,83319,Parking Facility|Dining Area,
8484,86179,Parking Facility,Parking
8485,88851,Parking Facility,
8486,74074,Parking Facility,
8487,17795,Parking Facility,
8488,16018,Parking Facility,
8489,8089,Parking Facility,
8490,18704,Parking Facility,
8491,50578,Dining Area,Dining
8492,18209,Dining Area|Parking Facility,
8493,35157,Dining Area,
8494,75967,Dining Area|Parking Facility,Dining
8495,54330,Dining Area,
8496,48207,Parking Facility,
8497,87082,Parking Facility,
8498,87231,Parking Facility,
8499,104233,Parking Facility,
8500,80633,Parking Facility,Parking
8501,49211,Parking Facility,
8502,87029,Parking Facility,
8503,10449,Parking Facility,
8504,83032,Parking Facility,
8505,46984,Parking Facility,
8506,58760,Parking Facility,
8507,90952,Spa|Parking Facility|Bar|Swimming Pool|Conference Room|In-house Restaurant|Dining Area,Boardroom|Restaurant
8508,19463,Spa|Bar|Conference Room|In-house Restaurant|Dining Area|Parking Facility,Restaurant
8509,86444,Spa|Parking Facility|In-house Restaurant|Dining Area|Bar,Restaurant
8510,101426,Spa|Garden/Backyard|Dining Area|Swimming Pool|In-house Restaurant|Parking Facility,
