,hotel_id,no_of_ratings
1253,96329,0
1254,103085,1
1255,79884,24
1256,86007,18
1257,86910,46
1258,80641,21
1259,76163,210
1260,92580,1
1261,78537,24
1262,95904,0
1263,97091,0
1264,42067,385
1265,81662,215
1266,97378,0
1267,81701,0
1268,40095,461
1269,92175,0
1270,93356,0
1271,82927,1
1272,8997,0
1273,99454,0
1274,100556,0
1275,104404,2
1276,80483,251
1277,76166,19
1278,103827,0
1279,37592,49
1280,92892,8
1281,61060,357
1282,88752,9
1283,83487,325
1284,78292,46
1285,82165,4
1286,103521,30
1287,99043,0
1288,41164,321
1289,88569,0
1290,79741,103
1291,51770,7
1292,89776,10
1293,60635,326
1294,100677,0
1295,93061,0
1296,48038,185
1297,86502,142
1298,75426,17
1299,101555,0
1300,87793,25
1301,17685,0
1302,10049,109
1303,78073,33
1304,58804,156
1305,27281,403
1306,83037,15
1307,61482,70
1308,53151,90
1309,96523,0
1310,88246,5
1311,90375,8
1312,81220,182
1313,93505,1
1314,75848,168
1315,60936,0
1316,82587,2
1317,86814,233
1318,96183,1
1319,59102,13
1320,85892,0
1321,79614,6
1322,102604,0
1323,54296,2
1324,92912,5
1325,60146,18
1326,19673,290
1327,96647,0
1328,17243,467
1329,92881,1
1330,93508,0
1331,93654,0
1332,95432,0
1333,43127,400
1334,61352,7
1335,95606,0
1336,99673,5
1337,90088,12
1338,49261,115
1339,99344,0
1340,57744,166
1341,90102,0
1342,97859,0
1343,61327,28
1344,82601,19
1345,51202,279
1346,2264,318
1347,87509,166
1348,101712,0
1349,81265,3
1350,97381,12
1351,91556,17
1352,85141,4
1353,56118,39
1354,45923,33
1355,76436,20
1356,76169,7
1357,39187,217
1358,100970,5
1359,74636,358
1360,99015,0
1361,77038,78
1362,87669,12
1363,60154,190
1364,41288,6
1365,75255,175
1366,41468,79
1367,79603,115
1368,104421,45
1369,81985,21
1370,93969,0
1371,86758,373
1372,90510,10
1373,18242,0
1374,83774,349
1375,77052,97
1376,10035,0
1377,79012,194
1378,97842,8
1379,50150,65
1380,88589,4
1381,101870,0
1382,49126,364
1383,101740,0
1384,90060,36
1385,104429,4
1386,42514,20
1387,81386,35
1388,88721,115
1389,92605,0
1390,79454,403
1391,91587,10
1392,87498,25
1393,52816,180
1394,103836,0
1395,78405,86
1396,104114,3
1397,97235,0
1398,103695,2
1399,104606,0
1400,83338,60
1401,45324,362
1402,51345,10
1403,45920,277
1404,87849,4
1405,74349,0
1406,84674,0
1407,100106,2
1408,102958,0
1409,35463,158
1410,73919,444
1411,82446,407
1412,44584,5
1413,88232,129
1414,86941,66
1415,53002,380
1416,83625,16
1417,78441,111
1418,41192,235
1419,86212,20
1420,80818,136
1421,91750,4
1422,17806,0
1423,102168,0
1424,103684,0
1425,62078,77
1426,52982,357
1427,97257,0
1428,60115,0
1429,60348,162
1430,89295,4
1431,90085,1
1432,84550,15
1433,101417,0
1434,101296,0
1435,94571,0
1436,47450,42
1437,80362,10
1438,99040,2
1439,44258,299
1440,52988,298
1441,101608,0
1442,51933,0
1443,101569,6
1444,102615,0
1445,92327,1
1446,96467,5
1447,104120,71
1448,13756,0
1449,7051,348
1450,78984,22
1451,96470,0
1452,44874,62
1453,79133,133
1454,104255,25
1455,100213,1
1456,99617,1
1457,18422,36
1458,79147,271
1459,82030,50
1460,101757,0
1461,77921,0
1462,15123,219
1463,79763,2
1464,81977,29
1465,47011,222
1466,62081,335
1467,88724,55
1468,94692,8
1469,81549,317
1470,90071,18
1471,56301,395
1472,47149,9
1473,79111,9
1474,99029,0
1475,97094,0
1476,83667,27
1477,95620,0
1478,43839,0
1479,81510,361
1480,16293,7
1481,54788,118
1482,80160,431
1483,43237,127
1484,92147,9
1485,87087,13
1486,51469,53
1487,51157,198
1488,54594,89
1489,51472,79
1490,40835,23
1491,95584,0
1492,76290,10
1493,35345,245
1494,81096,71
1495,51767,87
1496,51742,144
1497,82722,24
1498,73927,242
1499,94273,7
1500,80655,43
1501,93834,0
1502,77055,345
1503,100570,0
1504,78593,54
1505,79696,89
1506,60320,112
1507,76776,45
1508,83940,5
1509,89919,0
1510,60309,295
1511,47000,126
1512,49998,150
1513,104294,0
1514,94996,2
1515,37617,444
1516,37873,54
1517,84840,8
1518,103698,0
1519,59282,4
1520,18872,0
1521,94518,0
1522,90805,2
1523,79156,29
1524,87073,12
1525,85135,10
1526,76726,331
1527,54757,160
1528,95612,2
1529,85287,10
1530,57035,0
1531,93182,2
1532,48634,9
1533,74512,28
1534,98461,4
1535,88288,344
1536,50406,319
1537,99535,0
1538,91669,8
1539,56408,289
1540,81715,0
1541,47259,121
1542,58835,0
1543,35488,357
1544,100205,0
1545,91230,5
1546,84812,1
1547,82725,129
1548,52656,148
1549,95325,10
1550,62553,58
1551,88136,34
1552,83515,311
1553,54487,71
1554,101335,0
1555,58081,0
1556,98447,0
1557,91840,18
1558,61932,11
1559,96984,0
1560,87998,137
1561,101425,2
1562,90656,2
1563,76183,89
1564,97997,0
1565,84826,138
1566,45186,0
1567,101721,0
1568,97125,0
1569,90946,17
1570,53556,461
1571,95308,3
1572,99046,0
1573,76340,248
1574,94127,0
1575,88575,31
1576,60905,241
1577,77060,12
1578,88302,16
1579,4514,8
1580,79738,114
1581,97693,0
1582,53421,14
1583,88558,3
1584,93640,1
1585,91733,1
1586,87360,6
1587,43369,38
1588,96658,1
1589,54200,25
1590,43538,260
1591,76298,110
1592,80638,271
1593,90797,15
1594,57567,340
1595,74220,141
1596,79628,89
1597,98419,2
1598,79898,11
1599,97544,0
1600,104106,11
1601,103844,14
1602,81403,92
1603,103535,3
1604,92774,0
1605,41603,438
1606,54771,80
1607,84224,44
1608,90355,32
1609,54906,421
1610,97271,0
1611,102005,0
1612,95463,0
1613,104283,0
1614,98610,0
1615,91098,3
1616,103242,4
1617,90203,41
1618,83349,140
1619,98714,0
1620,86772,5
1621,55069,0
1622,91449,9
1623,77516,2
1624,104567,0
1625,103355,0
1626,74363,120
1627,39322,137
1628,75238,131
1629,61662,431
1630,19046,293
1631,9734,28
1632,93168,2
1633,54619,493
1634,84632,29
1635,46544,48
1636,78700,229
1637,101867,0
1638,48662,0
1639,81535,242
1640,81397,55
1641,50710,0
1642,99496,3
1643,73739,475
1644,93688,3
1645,43999,72
1646,47422,120
1647,75294,104
1648,93955,0
1649,9638,1
1650,91286,0
1651,98450,0
1652,103712,0
1653,89039,186
1654,53694,33
1655,87534,29
1656,78540,145
1657,97263,0
1658,59285,107
1659,82013,23
1660,77350,481
1661,61780,298
1662,51604,117
1663,10206,188
1664,79887,224
1665,104578,10
1666,103706,11
1667,47872,295
1668,48645,16
1669,82733,123
1670,98267,0
1671,99184,0
1672,92636,0
1673,90068,10
1674,98905,0
1675,42635,267
1676,96371,0
1677,84972,14
1678,54034,29
1679,97966,0
1680,101749,0
1681,100691,0
1682,91233,26
1683,80500,173
1684,80053,1
1685,95339,0
1686,58945,357
1687,92459,1
1688,76914,376
1689,39336,42
1690,85726,1
1691,90518,1
1692,86308,4
1693,101403,24
1694,87661,0
1695,91438,54
1696,102927,0
1697,88856,52
1698,82860,3
1699,59119,40
1700,77963,177
1701,42323,177
1702,91424,1
1703,75727,390
1704,48811,68
1705,94574,3
1706,87076,38
1707,47751,138
1708,49531,387
1709,87548,14
1710,95322,0
1711,54307,40
1712,90369,1
1713,78388,246
1714,99085,0
1715,88412,3
1716,87233,104
1717,95879,0
1718,74979,268
1719,77190,442
1720,80804,53
1721,89582,0
1722,101864,1
1723,85568,51
1724,92448,9
1725,103512,0
1726,104415,0
1727,45782,69
1728,94394,0
1729,45214,11
1730,75550,496
1731,87084,282
1732,48783,293
1733,91885,0
1734,94869,9
1735,18748,422
1736,103386,0
1737,98900,34
1738,46561,65
1739,104131,22
1740,47436,37
1741,85110,0
1742,87363,2
1743,51483,28
1744,79611,128
1745,88533,19
1746,89925,78
1747,83473,0
1748,104702,0
1749,93784,4
1750,90535,14
1751,100652,0
1752,77041,422
1753,92313,7
1754,50268,181
1755,87371,352
1756,90496,1
1757,89025,153
1758,83048,3
1759,99305,0
1760,53280,28
1761,62967,184
1762,96821,0
1763,88423,1
1764,91545,0
1765,99355,0
1766,54431,208
1767,98427,0
1768,43403,129
1769,61521,9
1770,93685,0
1771,91708,0
1772,102480,0
1773,94121,0
1774,98275,7
1775,101878,0
1776,3012,2
1777,93249,5
1778,58779,314
1779,50139,353
1780,94231,2
1781,50611,70
1782,7329,415
1783,100241,0
1784,100385,0
1785,61957,12
1786,100705,0
1787,76588,9
1788,86024,27
1789,103526,0
1790,94529,0
1791,100694,0
1792,46128,233
1793,93961,3
1794,88696,1
1795,81577,294
1796,75975,191
1797,97105,0
1798,77662,22
1799,89731,1
1800,89461,32
1801,74377,456
1802,85273,6
1803,54611,30
1804,61369,315
1805,97668,0
1806,94248,0
1807,55668,76
1808,81839,139
1809,84851,150
1810,94847,0
1811,18430,351
1812,100700,0
1813,93334,0
1814,51320,12
1815,56706,241
1816,74799,158
1817,35452,0
1818,15570,26
1819,19960,85
1820,80047,381
1821,91531,5
1822,102182,0
1823,50130,28
1824,53570,6
1825,89483,32
1826,55072,0
1827,90794,24
1828,84820,1
1829,36844,329
1830,80652,207
1831,99628,3
1832,100818,0
1833,103054,0
1834,97870,1
1835,100840,5
1836,91576,0
1837,99153,0
1838,103096,0
1839,101282,0
1840,55398,114
1841,59853,22
1842,97682,0
1843,4511,323
1844,46086,0
1845,94549,2
1846,96790,0
1847,89756,0
1848,82441,2
1849,59229,386
1850,86339,114
1851,46249,338
1852,50569,60
1853,82314,4
1854,47883,322
1855,35629,213
1856,77496,481
1857,97572,0
1858,95907,0
1859,46359,390
1860,91399,39
1861,94104,0
1862,73941,324
1863,94599,4
1864,97969,8
1865,87101,101
1866,58478,106
1867,77935,348
1868,49540,9
