,hotel_id,mrc_images_score,actual_room_categories,images_available_for_categories
28439,93687,10.0,Indonesia Standard Twin|Indonesia Standard Double|Delux Family|Indonesia Deluxe Double|Suite Family  Room,Indonesia Standard Twin|Indonesia Standard Double|Delux Family|Indonesia Deluxe Double|Suite Family  Room
28440,83992,0.0,Classic (2X),
28441,100873,8.0,Double Room|Quadruple Room (4 Single Beds)|Triple Room (3 Single beds)|Triple Room (1 Double bed + 1 Single bed)|Twin Room,Quadruple Room (4 Single Beds)|Triple Room (3 Single beds)|Triple Room (1 Double bed + 1 Single bed)|Twin Room
28442,18170,0.0,Classic (2X)|Classic (2X),
28443,47792,7.5,Indonesia Deluxe Double|Indonesia Standard Single|Classic (2X)|Indonesia Standard Double,Indonesia Deluxe Double|Indonesia Standard Single|Indonesia Standard Double
28444,90711,10.0,Indonesia Deluxe Double|Indonesia Standard Double,Indonesia Deluxe Double|Indonesia Standard Double
28445,97880,4.444444444444445,Western Room with Shared Washroom - Twin (Non-Smoking)|Double Room with shared bathroom (Non Smoking)|Quadruple Room with shared bathroom (Non Smoking)|Japanese - Western room - Triple (Non Smoking)|Triple Room Non Smoking|Japanese Room with Shared Washroom - Triple  (Non-Smoking)|Japanese Room - Quintuple (Non-Smoking)|Japanese Room with Shared Washroom - Twin (Non-Smoking)|Twin Room,Western Room with Shared Washroom - Twin (Non-Smoking)|Double Room with shared bathroom (Non Smoking)|Japanese Room with Shared Washroom - Twin (Non-Smoking)|Twin Room
28446,102802,10.0,Twin Room|Grande Room (Non Smoking)|Triple Room Non Smoking,Twin Room|Grande Room (Non Smoking)|Triple Room Non Smoking
28447,16235,10.0,Suite (4X)|Deluxe (3X)|Classic (2X)|Classic (2X),Suite (4X)|Deluxe (3X)|Classic (2X)|Classic (2X)
28448,77866,10.0,Suite (4X),Suite (4X)
28449,88157,10.0,Deluxe (3X)|Deluxe (3X),Deluxe (3X)|Deluxe (3X)
28450,79351,10.0,SPOT ON NON-AC SAVER|SPOT ON NON-AC|SPOT ON NON-AC,SPOT ON NON-AC SAVER|SPOT ON NON-AC|SPOT ON NON-AC
28451,15445,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28452,11285,10.0,Classic (2X),Classic (2X)
28453,1430,10.0,Classic (2X),Classic (2X)
28454,91923,7.5,Double Room|Triple Room (3 Single beds)|Superior Quadruple Room (1 Double bed + 2 Single beds)|Triple Room (1 Double bed + 1 Single bed)|Classic (2X)|Twin Room|Individual Room|Superior Quintuple Room (1 Double bed + 3 Single bed),Double Room|Triple Room (3 Single beds)|Superior Quadruple Room (1 Double bed + 2 Single beds)|Twin Room|Individual Room|Superior Quintuple Room (1 Double bed + 3 Single bed)
28455,37754,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28456,79354,10.0,Classic (2X),Classic (2X)
28457,104006,10.0,Superior Double,Superior Double
28458,61683,10.0,SPOT ON NON-AC|SPOT ON NON-AC,SPOT ON NON-AC|SPOT ON NON-AC
28459,85761,5.0,Classic with View|Classic (2X),Classic with View|
28460,60985,10.0,Deluxe (3X)|Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Deluxe (3X)|Classic (2X)|Classic (2X)
28461,9229,0.0,Classic (2X)|Classic (2X),
28462,4538,0.0,Classic (2X)|Classic (2X),
28463,74131,0.0,Classic (2X),
28464,58873,0.0,Classic (2X),
28465,831,0.0,Classic (2X)|Classic (2X),
28466,102850,0.0,SPOT ON NON-AC|SPOT ON NON-AC,
