,hotel_id,no_of_comments
1018,97322,0
1019,78720,59
1020,43895,38
1021,87827,13
1022,1268,0
1023,47672,13
1024,58278,41
1025,82660,0
1026,45422,43
1027,83411,50
1028,92951,0
1029,40278,99
1030,87264,3
1031,79347,14
1032,43034,67
1033,51354,67
1034,91916,2
1035,95643,0
1036,94644,0
1037,85492,28
1038,48516,0
1039,95083,0
1040,80084,54
1041,83079,3
1042,50808,92
1043,48063,30
1044,45886,2
1045,99701,0
1046,102798,0
1047,93432,3
1048,98793,0
1049,90116,0
1050,50946,11
1051,47939,14
1052,86072,2
1053,54054,50
1054,103099,0
1055,98208,0
1056,44154,72
1057,96557,1
1058,42230,18
1059,76821,3
1060,93829,0
1061,50327,1
1062,55241,30
1063,91922,1
1064,79223,57
1065,62607,71
1066,48527,84
1067,57831,42
1068,58413,23
1069,83684,1
1070,99077,0
1071,101639,0
1072,88142,3
1073,96579,0
1074,102373,0
1075,89790,6
1076,99524,0
1077,99130,0
1078,60078,12
1079,81743,71
1080,101164,0
1081,61712,12
1082,54383,10
1083,49734,57
1084,58267,6
1085,77994,48
1086,99403,0
1087,94003,0
1088,76512,31
1089,99105,2
1090,4438,44
1091,95370,0
1092,20115,61
1093,88060,15
1094,44193,24
1095,19229,32
1096,39150,84
1097,52906,79
1098,77409,27
1099,56605,56
1100,83071,0
1101,86069,0
1102,47197,25
1103,101476,0
1104,86643,5
1105,80413,38
1106,52279,83
1107,94495,0
1108,96993,0
1109,94194,0
1110,104176,0
1111,102095,0
1112,74422,2
1113,77114,34
1114,61262,0
1115,89258,0
1116,57176,16
1117,61403,23
1118,55128,11
1119,89506,1
1120,39423,1
1121,77578,5
1122,86986,0
1123,79836,2
1124,82629,14
1125,86077,0
1126,83259,21
1127,98329,0
1128,47059,34
1129,92234,0
1130,44812,96
1131,90563,0
1132,700,97
1133,88918,0
1134,88043,1
1135,84761,18
1136,96250,0
1137,93064,2
1138,94754,0
1139,44550,0
1140,83692,75
1141,76672,44
1142,75764,5
1143,102989,0
1144,78036,24
1145,59617,3
1146,58576,26
1147,43934,6
1148,60393,2
1149,85951,0
1150,77378,0
1151,80137,23
1152,27312,52
1153,15452,38
1154,76987,20
1155,88021,0
1156,101785,0
1157,59043,23
1158,95041,0
1159,101465,0
1160,76509,3
1161,85045,13
1162,77851,54
1163,102815,0
1164,76031,28
1165,90729,0
1166,93536,1
1167,38385,42
1168,11621,34
1169,74262,59
1170,96079,0
1171,82930,3
1172,55294,14
1173,88780,0
1174,35235,20
1175,60801,0
1176,83192,24
1177,83521,4
1178,89942,0
1179,84283,1
1180,90704,0
1181,77001,55
1182,62598,62
1183,88305,0
1184,75623,10
1185,84415,28
1186,84719,5
1187,19977,95
1188,100016,0
1189,62179,55
1190,94290,3
1191,103723,0
1192,6328,66
1193,75761,1
1194,42995,49
1195,75474,4
1196,38363,34
1197,97727,0
1198,78312,0
1199,78149,33
1200,74405,57
1201,12040,19
1202,92982,0
1203,82770,6
1204,89219,1
1205,100126,0
1206,73978,62
1207,77384,11
1208,88482,11
1209,91328,9
1210,94138,0
1211,92777,0
1212,90434,0
1213,85346,0
1214,38067,8
1215,99237,0
1216,15187,48
1217,41811,0
1218,77221,31
1219,83242,0
1220,91165,0
1221,95353,0
1222,91756,27
1223,36886,53
1224,88617,12
1225,53888,3
1226,94301,0
1227,98053,0
1228,103999,0
1229,82936,27
1230,89655,0
1231,49855,0
1232,96076,0
1233,76200,18
1234,91306,3
1235,73050,4
1236,97890,0
1237,76385,0
1238,81285,49
1239,74113,2
1240,104463,0
1241,87143,0
1242,53891,14
1243,52690,37
1244,104134,0
1245,62165,32
1246,75893,36
1247,92057,0
1248,84592,17
1249,57381,9
1250,48789,76
1251,92763,0
1252,78621,24
1253,78922,45
1254,92068,0
